job_title,company_name,location,ctc,experience,posted
Field Sales Executive,Lindstrom Services India,"Faridabad, Delhi","₹ 3,00,000 - 4,50,000",0-2 years,2 weeks ago
Assistant Sales Manager,PropertyPistol Realty Private Limited,Navi Mumbai,"₹ 2,00,000 - 3,00,000",0-2 years,2 weeks ago
Omni Sport Leader (Sales Manager),Decathlon,"Thane, Mumbai","₹ 4,40,000 - 5,50,000",0-5 years,2 weeks ago
Customer Care Executive,IDP,Surat,"₹ 3,00,000 - 3,40,000",0-2 years,2 weeks ago
Business Development Associate,Leverage Edu,Noida,"₹ 6,60,000 - 7,00,000",0-5 years,2 weeks ago
Content Marketer,KocharTech,Gurgaon,"₹ 3,00,000 - 5,00,000",0-5 years,2 weeks ago
Senior Executive,Mahindra Home Finance,"Thoothukudi, Kangeyam, Annur, Madurai, Pollachi, Palani, Tiruchendur, Tiruppur","₹ 3,00,000 - 3,50,000",0-2 years,2 weeks ago
Performance Marketing,Worldwide Media (Times Group),Work from home,"₹ 4,00,000 - 5,00,000",0-5 years,2 weeks ago
Branch Credit Officer,Mahindra Home Finance,"Paramakudi, Nagercoil, Attur, Marthandam, Kaikatti","₹ 3,00,000 - 3,50,000",0-2 years,2 weeks ago
Sports Manager,Decathlon Sport India Private Limited,Mumbai,"₹ 3,50,000 - 4,00,000",0-2 years,2 weeks ago
Sales Executive,Cultfit Healthcare Private Limited,Mumbai,"₹ 2,20,000 - 3,00,000",0-2 years,2 weeks ago
Store Staff,Pepperfry,Gurgaon,"₹ 2,00,000 - 2,20,000",0-2 years,2 weeks ago
Corporate Sales Executive,Pepperfry,Bangalore,"₹ 2,40,000 - 3,50,000",0-2 years,2 weeks ago
Business Development Trainee,Planet Spark,Gurgaon,"₹ 4,00,000 - 7,00,000",0-5 years,2 weeks ago
Business Development Associate,BYJU'S The Learning App,"Haridwar, Noida, Jaipur, Surat, Ludhiana, Bhavnagar, Delhi, Amritsar, Ghaziabad, Gurgaon, Ahmedabad, Karnal","₹ 4,50,000 - 8,50,000",0-5 years,3 weeks ago
Omni Sport Leader,Decathlon Sport India Private Limited,Gurgaon,"₹ 3,36,000 - 3,60,000",0-2 years,3 weeks ago
Cloud Engineer Trainee,Redington India Limited,"Chennai, Mumbai, Bangalore, Delhi","₹ 4,50,000 - 5,00,000",0-5 years,3 weeks ago
Music Tracker,Saregama India Limited,Chennai,"₹ 2,00,000 - 2,16,000",0-2 years,3 weeks ago
